,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,451,273,-1.0,
1,2,1,1,0,0,0,10,37,430,16,-1.0,
2,3,1,1,1,0,0,10,37,430,16,-1.0,
3,4,1,1,1,1,0,10,37,430,16,-1.0,
4,5,1,1,1,1,1,10,37,40,15,96.926666,Date
5,5,1,1,1,1,2,57,37,77,15,96.395775,collected
6,5,1,1,1,1,3,142,37,33,15,81.605194,Plot
7,5,1,1,1,1,4,207,37,69,16,78.809441,Species
8,5,1,1,1,1,5,293,37,33,15,95.374306,Sex
9,5,1,1,1,1,6,378,37,62,16,26.593765,Weight
10,2,1,2,0,0,0,68,56,372,190,-1.0,
11,3,1,2,1,0,0,68,56,372,180,-1.0,
12,4,1,2,1,1,0,80,56,359,29,-1.0,
13,5,1,2,1,1,1,80,56,52,29,96.528458,1/9/78
14,5,1,2,1,1,2,189,60,6,15,47.292671,1
15,5,1,2,1,1,3,207,60,28,15,47.292671,DM
16,5,1,2,1,1,4,293,60,14,15,91.356773,M
17,5,1,2,1,1,5,418,60,21,15,96.934875,40
18,4,1,2,1,2,0,80,79,359,29,-1.0,
19,5,1,2,1,2,1,80,79,52,29,96.528458,1/9/78
20,5,1,2,1,2,2,189,83,6,15,52.600929,1
21,5,1,2,1,2,3,207,83,28,15,52.600929,DM
22,5,1,2,1,2,4,293,83,11,15,77.712288,F
23,5,1,2,1,2,5,419,83,20,15,96.87204,36
24,4,1,2,1,3,0,80,102,360,29,-1.0,
25,5,1,2,1,3,1,80,102,52,29,96.567665,1/9/78
26,5,1,2,1,3,2,189,106,6,15,27.241592,1
27,5,1,2,1,3,3,207,106,25,15,27.241592,DS
28,5,1,2,1,3,4,293,106,11,15,77.712288,F
29,5,1,2,1,3,5,409,106,31,15,81.824707,135
30,4,1,2,1,4,0,69,125,370,29,-1.0,
31,5,1,2,1,4,1,69,125,63,29,96.338928,1/20/78
32,5,1,2,1,4,2,189,129,6,15,44.610004,1
33,5,1,2,1,4,3,207,129,28,15,44.610004,DM
34,5,1,2,1,4,4,293,129,11,15,75.838539,F
35,5,1,2,1,4,5,419,129,20,15,96.618492,39
36,4,1,2,1,5,0,69,148,370,29,-1.0,
37,5,1,2,1,5,1,69,148,63,29,96.338928,1/20/78
38,5,1,2,1,5,2,187,152,48,15,79.234116,2DM
39,5,1,2,1,5,3,293,152,14,15,91.356773,M
40,5,1,2,1,5,4,418,152,21,15,94.961998,43
41,4,1,2,1,6,0,69,171,371,29,-1.0,
42,5,1,2,1,6,1,69,171,63,29,95.446442,1/20/78
43,5,1,2,1,6,2,187,175,45,15,82.981239,2DS
44,5,1,2,1,6,3,293,175,11,15,77.712288,F
45,5,1,2,1,6,4,409,175,31,15,94.01342,144
46,4,1,2,1,7,0,68,194,369,29,-1.0,
47,5,1,2,1,7,1,68,194,64,29,96.891457,3/13/78
48,5,1,2,1,7,2,187,198,48,15,82.286575,2DM
49,5,1,2,1,7,3,293,198,11,15,77.712288,F
50,5,1,2,1,7,4,419,198,18,15,95.464577,51
51,4,1,2,1,8,0,68,217,372,29,-1.0,
52,5,1,2,1,8,1,68,217,64,29,96.891457,3/13/78
53,5,1,2,1,8,2,187,221,48,15,79.234116,2DM
54,5,1,2,1,8,3,293,221,11,15,77.712288,F
55,5,1,2,1,8,4,418,221,22,15,95.838989,44
56,2,1,3,0,0,0,68,244,371,15,-1.0,
57,3,1,3,1,0,0,68,244,371,15,-1.0,
58,4,1,3,1,1,0,68,244,371,15,-1.0,
59,5,1,3,1,1,1,68,244,64,15,96.895897,3/13/78
60,5,1,3,1,1,2,187,244,45,15,74.47496,2DS
61,5,1,3,1,1,3,293,244,11,15,81.186554,F
62,5,1,3,1,1,4,409,244,30,15,96.848663,146
